name,season,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game,prev_games_played,prev_games_started,prev_passing_yards,prev_pass_completions,prev_pass_attempts,prev_interceptions_thrown,prev_passing_touchdowns,prev_longest_completion,prev_pass_completion_percentage,prev_average_yards_per_pass,prev_average_passing_yards_per_game,prev_rushing_attempts,prev_rushing_yards,prev_rushing_touchdowns,prev_longest_rush,prev_average_yards_per_rush,prev_average_rushing_yards_per_game,total_touchdowns,prev_total_touchdowns
"adams, remington",2022,,66,165,"kennesaw, ga.",rb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"adeleke, adeolu",2019,,70,189,"conyers, ga.",rb,11.0,0.0,,,,,,,,,,14.0,125.0,0.0,30.0,8.9,11.4,,,,,,,,,,,,,,,,,,,
"adeleke, adeolu",2021,,70,185,"conyers, ga.",rb,12.0,7.0,,,,,,,,,,53.0,377.0,2.0,61.0,7.1,31.4,11.0,0.0,,,,,,,,,,14.0,125.0,0.0,30.0,8.9,11.4,,
"ashley, qua",2022,,70,185,"dublin, ga.",rb,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
"ashley, qua",2023,integrated health science,70,190,"dublin, ga.",rb,5.0,0.0,,,,,,,,,,9.0,32.0,0.0,11.0,3.6,6.4,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
"ashley, qua",2024,integrated health science,70,195,"dublin, ga.",rb,4.0,1.0,,,,,,,,,,37.0,55.0,0.0,10.0,1.5,13.8,5.0,0.0,,,,,,,,,,9.0,32.0,0.0,11.0,3.6,6.4,,
"benefield, michael",2022,,67,190,"atlanta, ga.",rb,10.0,7.0,,,,,,,,,,18.0,111.0,0.0,19.0,6.2,11.1,,,,,,,,,,,,,,,,,,,
"benefield, michael",2023,psychology,67,200,"atlanta, ga.",rb,8.0,5.0,,,,,,,,,,70.0,441.0,4.0,75.0,6.3,55.1,10.0,7.0,,,,,,,,,,18.0,111.0,0.0,19.0,6.2,11.1,,
"benefield, michael",2024,exercise science (ms),67,205,"atlanta, ga.",rb,4.0,3.0,,,,,,,,,,30.0,82.0,0.0,10.0,2.7,20.5,8.0,5.0,,,,,,,,,,70.0,441.0,4.0,75.0,6.3,55.1,,
"benyard, gabriel",2021,,70,180,"ocilla, ga.",rb,13.0,2.0,,,,,,,,,,14.0,90.0,1.0,49.0,6.4,6.9,,,,,,,,,,,,,,,,,,,
"benyard, gabriel",2022,,70,175,"ocilla, ga.",rb,9.0,2.0,,,,,,,,,,30.0,202.0,0.0,28.0,6.7,22.4,13.0,2.0,,,,,,,,,,14.0,90.0,1.0,49.0,6.4,6.9,,
"benyard, gabriel",2023,sport management,70,185,"ocilla, ga.",rb,4.0,4.0,,,,,,,,,,18.0,116.0,1.0,49.0,6.4,29.0,9.0,2.0,,,,,,,,,,30.0,202.0,0.0,28.0,6.7,22.4,,
"brown, rob",2022,,72,205,"trion, ga.",rb,2.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
"brown, rob",2023,business,72,215,"trion, ga.",rb,6.0,0.0,,,,,,,,,,3.0,11.0,0.0,7.0,3.7,1.8,2.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
"brown, rob",2024,health and physical activity leadership,72,200,"trion, ga.",rb,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,,,3.0,11.0,0.0,7.0,3.7,1.8,,
"clemons, yesiah",2021,,70,200,"griffin, ga.",rb,11.0,0.0,,,,,,,,,,1.0,-2.0,0.0,0.0,-2.0,-0.2,,,,,,,,,,,,,,,,,,,
"clemons, yesiah",2022,,70,200,"griffin, ga.",rb,11.0,2.0,,,,,,,,,,26.0,148.0,0.0,36.0,5.7,13.5,11.0,0.0,,,,,,,,,,1.0,-2.0,0.0,0.0,-2.0,-0.2,,
"clemons, yesiah",2023,business administration,70,215,"griffin, ga.",rb,8.0,0.0,,,,,,,,,,24.0,126.0,0.0,14.0,5.3,15.8,11.0,2.0,,,,,,,,,,26.0,148.0,0.0,36.0,5.7,13.5,,
"clemons, yesiah",2024,business administration (mba),70,210,"griffin, ga.",rb,4.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,24.0,126.0,0.0,14.0,5.3,15.8,,
"cousin, iaan",2019,,72,165,"carrollton, ga.",rb,3.0,0.0,,,,,,,,,,6.0,52.0,0.0,28.0,8.7,17.3,,,,,,,,,,,,,,,,,,,
"cousin, iaan",2021,,72,165,"carrollton, ga.",rb,13.0,4.0,,,,,,,,,,47.0,479.0,4.0,54.0,10.2,36.8,3.0,0.0,,,,,,,,,,6.0,52.0,0.0,28.0,8.7,17.3,,
"cousin, iaan",2022,,72,160,"carrollton, ga.",rb,5.0,1.0,,,,,,,,,,8.0,12.0,0.0,20.0,1.5,2.4,13.0,4.0,,,,,,,,,,47.0,479.0,4.0,54.0,10.2,36.8,,
"daniels, preston",2019,,71,225,"sandersville, ga.",rb,4.0,0.0,,,,,,,,,,8.0,24.0,0.0,9.0,3.0,6.0,,,,,,,,,,,,,,,,,,,
"daniels, preston",2021,,71,250,"sandersville, ga.",rb,12.0,0.0,,,,,,,,,,72.0,301.0,0.0,26.0,4.2,25.1,4.0,0.0,,,,,,,,,,8.0,24.0,0.0,9.0,3.0,6.0,,
"daniels, preston",2022,,71,255,"sandersville, ga.",rb,9.0,8.0,,,,,,,,,,84.0,423.0,4.0,46.0,5.0,47.0,12.0,0.0,,,,,,,,,,72.0,301.0,0.0,26.0,4.2,25.1,,
"diggs, alexander",2022,,69,190,"snellville, ga.",rb,3.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
"diggs, alexander",2023,finance,69,200,"snellville, ga.",rb,7.0,1.0,,,,,,,,,,26.0,93.0,0.0,20.0,3.6,13.3,3.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
"diggs, alexander",2024,finance,69,185,"snellville, ga.",rb,2.0,0.0,,,,,,,,,,2.0,3.0,0.0,5.0,1.5,1.5,7.0,1.0,,,,,,,,,,26.0,93.0,0.0,20.0,3.6,13.3,,
"farrow, nykeem",2019,,69,165,"cochran, ga.",rb,3.0,0.0,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.3,,,,,,,,,,,,,,,,,,,
"farrow, nykeem",2021,,69,170,"cochran, ga.",rb,13.0,5.0,,,,,,,,,,41.0,323.0,2.0,44.0,7.9,24.8,3.0,0.0,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.3,,
"farrow, nykeem",2022,,69,170,"cochran, ga.",rb,5.0,0.0,,,,,,,,,,7.0,22.0,0.0,8.0,3.1,4.4,13.0,5.0,,,,,,,,,,41.0,323.0,2.0,44.0,7.9,24.8,,
"ficklin, kevin",2019,,66,187,"dacula, ga.",rb,14.0,5.0,,,,,,,,,,31.0,225.0,4.0,31.0,7.3,16.1,,,,,,,,,,,,,,,,,,,
"foster, isaac",2019,,70,165,"summerville, ga.",rb,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,506.0,4.0,75.0,14.9,63.3,,,,,,,,,,,,,,,,,,4.0,
"foster, isaac",2021,,70,170,"summerville, ga.",rb,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,0.0,14.0,6.4,17.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,506.0,4.0,75.0,14.9,63.3,0.0,4.0
"foster, isaac",2022,,70,175,"summerville, ga.",rb,11.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,420.0,4.0,43.0,5.8,38.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,0.0,14.0,6.4,17.0,4.0,0.0
"gilley, cole",2019,,70,206,"fayetteville, ga.",rb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"glover, kyle",2019,,71,204,"eastman, ga.",rb,14.0,3.0,,,,,,,,,,59.0,211.0,2.0,18.0,3.6,15.1,,,,,,,,,,,,,,,,,,,
"glover, kyle",2021,,71,215,"eastman, ga.",rb,13.0,12.0,,,,,,,,,,134.0,655.0,1.0,48.0,4.9,50.4,14.0,3.0,,,,,,,,,,59.0,211.0,2.0,18.0,3.6,15.1,,
"grier, antavius",2019,,69,158,"jackson, ga.",rb,10.0,0.0,,,,,,,,,,26.0,263.0,2.0,54.0,10.1,26.3,,,,,,,,,,,,,,,,,,,
"grier, kenai",2023,exercise science,69,200,"covington, ga.",rb,1.0,0.0,,,,,,,,,,2.0,26.0,1.0,17.0,13.0,26.0,,,,,,,,,,,,,,,,,,,
"grier, kenai",2024,health and physical activity leadership,69,190,"covington, ga.",rb,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,2.0,26.0,1.0,17.0,13.0,26.0,,
"lay, jordan",2022,,71,205,"hartwell, ga.",rb,10.0,0.0,,,,,,,,,,51.0,141.0,0.0,11.0,2.8,14.1,,,,,,,,,,,,,,,,,,,
"ledet, marquis",2021,,72,190,"marietta, ga.",rb,8.0,0.0,,,,,,,,,,1.0,11.0,0.0,11.0,11.0,1.4,,,,,,,,,,,,,,,,,,,
"ledet, marquis",2022,,72,205,"marietta, ga.",rb,8.0,1.0,,,,,,,,,,7.0,15.0,0.0,4.0,2.1,1.9,8.0,0.0,,,,,,,,,,1.0,11.0,0.0,11.0,11.0,1.4,,
"leiataua, eli",2022,,71,215,"hinesville, ga.",rb,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"marts, gavin",2021,,72,230,"jacksonville, fla.",rb,8.0,0.0,,,,,,,,,,20.0,79.0,0.0,8.0,4.0,9.9,,,,,,,,,,,,,,,,,,,
"mcgowan, kemari",2021,,70,175,"murfreesboro, tenn.",rb,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mcgowan, kemari",2022,,70,160,"murfreesboro, tenn.",rb,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
"outlaw, sam",2019,,73,221,"cumming, ga.",rb,5.0,0.0,,,,,,,,,,16.0,58.0,0.0,7.0,3.6,11.6,,,,,,,,,,,,,,,,,,,
"plummer, jack",2021,,67,185,"buford, ga.",rb,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"radam, cade",2019,,72,205,"canton, ga.",rb,2.0,0.0,,,,,,,,,,2.0,7.0,0.0,5.0,3.5,3.5,,,,,,,,,,,,,,,,,,,
"radam, cade",2021,,72,205,"canton, ga.",rb,2.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,2.0,7.0,0.0,5.0,3.5,3.5,,
