name,season,major,height,weight,hometown,position,games_played,games_started,receptions,receiving_yards,receiving_touchdowns,longest_reception,receptions_per_game,average_yards_per_reception,average_receiving_yards_per_game,total_touchdowns,total_points,prev_games_played,prev_games_started,prev_receptions,prev_receiving_yards,prev_receiving_touchdowns,prev_longest_reception,prev_receptions_per_game,prev_average_yards_per_reception,prev_average_receiving_yards_per_game,prev_total_touchdowns,prev_total_points
"adeleke, adeolu",2018,,70,189,"conyers, ga.",rb,9,0,1,1,0,1,0.1,1.0,0.1,1.0,6.0,,,,,,,,,,,
"adeleke, adeolu",2019,,70,189,"conyers, ga.",rb,11,0,1,13,0,13,0.1,13.0,1.2,0.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,0.1,1.0,6.0
"adeleke, adeolu",2021,,70,185,"conyers, ga.",rb,12,7,14,223,2,42,1.2,15.9,18.6,4.0,24.0,11.0,0.0,1.0,13.0,0.0,13.0,0.1,13.0,1.2,0.0,0.0
"ashley, qua",2022,,70,185,"dublin, ga.",rb,1,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,
"ashley, qua",2023,integrated health science,70,190,"dublin, ga.",rb,5,0,0,0,0,0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ashley, qua",2024,integrated health science,70,195,"dublin, ga.",rb,4,1,10,131,0,51,2.5,13.1,32.8,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"benefield, michael",2022,,67,190,"atlanta, ga.",rb,10,7,2,32,0,20,0.2,16.0,3.2,0.0,0.0,,,,,,,,,,,
"benefield, michael",2023,psychology,67,200,"atlanta, ga.",rb,8,5,4,24,0,15,0.5,6.0,3.0,4.0,24.0,10.0,7.0,2.0,32.0,0.0,20.0,0.2,16.0,3.2,0.0,0.0
"benefield, michael",2024,exercise science (ms),67,205,"atlanta, ga.",rb,4,3,2,6,0,9,0.5,3.0,1.5,0.0,0.0,8.0,5.0,4.0,24.0,0.0,15.0,0.5,6.0,3.0,4.0,24.0
"benyard, gabriel",2021,,70,180,"ocilla, ga.",rb,13,2,5,73,2,30,0.4,14.6,5.6,3.0,18.0,,,,,,,,,,,
"benyard, gabriel",2022,,70,175,"ocilla, ga.",rb,9,2,13,234,2,37,1.4,18.0,26.0,2.0,12.0,13.0,2.0,5.0,73.0,2.0,30.0,0.4,14.6,5.6,3.0,18.0
"benyard, gabriel",2023,sport management,70,185,"ocilla, ga.",rb,4,4,14,333,4,61,3.5,23.8,83.3,5.0,30.0,9.0,2.0,13.0,234.0,2.0,37.0,1.4,18.0,26.0,2.0,12.0
"benyard, gabriel",2024,sport management,70,185,"ocilla, ga.",wr,2,2,4,39,0,22,2.0,9.8,19.5,0.0,0.0,4.0,4.0,14.0,333.0,4.0,61.0,3.5,23.8,83.3,5.0,30.0
"bohannon, blake",2021,,73,165,"woodstock, ga.",wr,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"bohannon, blake",2022,,73,200,"woodstock, ga.",wr,11,10,12,213,1,61,1.1,17.8,19.4,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bohannon, blake",2023,business management,73,200,"woodstock, ga.",wr,8,8,7,152,1,55,0.9,21.7,19.0,1.0,6.0,11.0,10.0,12.0,213.0,1.0,61.0,1.1,17.8,19.4,1.0,6.0
"bohannon, blake",2024,management,73,190,"woodstock, ga.",wr,4,4,10,89,0,32,2.5,8.9,22.3,0.0,0.0,8.0,8.0,7.0,152.0,1.0,55.0,0.9,21.7,19.0,1.0,6.0
"chivers, trey",2017,,71,210,"carrollton, ga.",rb,14,0,1,26,1,26,0.1,26.0,1.9,4.0,24.0,,,,,,,,,,,
"chivers, trey",2018,,71,200,"carrollton, ga.",rb,11,0,5,69,0,27,0.5,13.8,6.3,1.0,6.0,14.0,0.0,1.0,26.0,1.0,26.0,0.1,26.0,1.9,4.0,24.0
"clemons, yesiah",2021,,70,200,"griffin, ga.",rb,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"clemons, yesiah",2022,,70,200,"griffin, ga.",rb,11,2,1,53,1,53,0.1,53.0,4.8,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"clemons, yesiah",2023,business administration,70,215,"griffin, ga.",rb,8,0,2,2,0,1,0.3,1.0,0.3,0.0,0.0,11.0,2.0,1.0,53.0,1.0,53.0,0.1,53.0,4.8,1.0,6.0
"clemons, yesiah",2024,business administration (mba),70,210,"griffin, ga.",rb,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,0.0,1.0,0.3,1.0,0.3,0.0,0.0
"cousin, iaan",2019,,72,165,"carrollton, ga.",rb,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"cousin, iaan",2021,,72,165,"carrollton, ga.",rb,13,4,14,337,2,55,1.1,24.1,25.9,6.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cousin, iaan",2022,,72,160,"carrollton, ga.",rb,5,1,11,146,0,28,2.2,13.3,29.2,0.0,0.0,13.0,4.0,14.0,337.0,2.0,55.0,1.1,24.1,25.9,6.0,36.0
"daniels, preston",2019,,71,225,"sandersville, ga.",rb,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"daniels, preston",2021,,71,250,"sandersville, ga.",rb,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"daniels, preston",2022,,71,255,"sandersville, ga.",rb,9,8,1,19,1,19,0.1,19.0,2.1,5.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"daniels, preston",2023,sport management,71,260,"sandersville, ga.",te,8,4,8,87,0,30,1.0,10.9,10.9,1.0,6.0,9.0,8.0,1.0,19.0,1.0,19.0,0.1,19.0,2.1,5.0,30.0
"daniels, preston",2024,undeclared,71,250,"sandersville, ga.",te,4,4,0,0,0,0,0.0,0.0,0.0,2.0,12.0,8.0,4.0,8.0,87.0,0.0,30.0,1.0,10.9,10.9,1.0,6.0
"darnell, rowan",2022,,76,210,"johns creek, ga.",wr,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"darnell, rowan",2023,biochemistry,76,220,"johns creek, ga.",te,8,0,6,66,1,31,0.8,11.0,8.3,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"darnell, rowan",2024,psychology,76,215,"johns creek, ga.",te,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,66.0,1.0,31.0,0.8,11.0,8.3,1.0,6.0
"dean, navelle",2023,exercise science,72,185,"columbus, ga.",wr,2,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,
"dean, navelle",2024,sport management,72,185,"columbus, ga.",wr,4,0,4,55,0,37,1.0,13.8,13.8,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"diggs, alexander",2022,,69,190,"snellville, ga.",rb,3,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,
"diggs, alexander",2023,finance,69,200,"snellville, ga.",rb,7,1,3,39,0,31,0.4,13.0,5.6,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"diggs, alexander",2024,finance,69,185,"snellville, ga.",rb,2,0,0,0,0,0,0.0,0.0,0.0,,,7.0,1.0,3.0,39.0,0.0,31.0,0.4,13.0,5.6,,
"farrow, nykeem",2019,,69,165,"cochran, ga.",rb,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"farrow, nykeem",2021,,69,170,"cochran, ga.",rb,13,5,6,100,1,52,0.5,16.7,7.7,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"farrow, nykeem",2022,,69,170,"cochran, ga.",rb,5,0,2,72,0,72,0.4,36.0,14.4,0.0,0.0,13.0,5.0,6.0,100.0,1.0,52.0,0.5,16.7,7.7,2.0,12.0
"ficklin, kevin",2017,,66,183,"dacula, ga.",rb,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"ficklin, kevin",2018,,66,187,"dacula, ga.",rb,13,0,1,55,1,55,0.1,55.0,4.2,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ficklin, kevin",2019,,66,187,"dacula, ga.",rb,14,5,0,0,0,0,0.0,0.0,0.0,4.0,24.0,13.0,0.0,1.0,55.0,1.0,55.0,0.1,55.0,4.2,1.0,6.0
"finer, connor",2021,,74,220,"new port richey, fla.",te,1,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,
"finer, connor",2022,,74,215,"new port richey, fla.",te,10,0,1,29,0,29,0.1,29.0,2.9,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"finer, connor",2023,business management,74,205,"new port richey, fla.",wr,8,2,4,56,0,29,0.5,14.0,7.0,,,10.0,0.0,1.0,29.0,0.0,29.0,0.1,29.0,2.9,,
"finer, connor",2024,management/interdisciplinary studies,74,215,"new port richey, fla.",te,4,0,1,12,0,12,0.3,12.0,3.0,,,8.0,2.0,4.0,56.0,0.0,29.0,0.5,14.0,7.0,,
"foster, isaac",2018,,70,165,"summerville, ga.",rb,13,0,3,56,0,38,0.2,18.7,4.3,3.0,18.0,,,,,,,,,,,
"foster, isaac",2019,,70,165,"summerville, ga.",rb,8,7,6,111,1,32,0.8,18.5,13.9,5.0,30.0,13.0,0.0,3.0,56.0,0.0,38.0,0.2,18.7,4.3,3.0,18.0
"foster, isaac",2021,,70,170,"summerville, ga.",rb,3,3,1,12,0,12,0.3,12.0,4.0,0.0,0.0,8.0,7.0,6.0,111.0,1.0,32.0,0.8,18.5,13.9,5.0,30.0
"foster, isaac",2022,,70,175,"summerville, ga.",rb,11,9,27,314,2,40,2.5,11.6,28.5,6.0,36.0,3.0,3.0,1.0,12.0,0.0,12.0,0.3,12.0,4.0,0.0,0.0
"foster, isaac",2023,business management,70,175,"summerville, ga.",wr,8,7,19,228,1,44,2.4,12.0,28.5,1.0,6.0,11.0,9.0,27.0,314.0,2.0,40.0,2.5,11.6,28.5,6.0,36.0
"glover, kyle",2017,,71,209,"eastman, ga.",lb,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"glover, kyle",2018,,71,204,"eastman, ga.",rb,12,1,1,9,0,9,0.1,9.0,0.8,1.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"glover, kyle",2019,,71,204,"eastman, ga.",rb,14,3,0,0,0,0,0.0,0.0,0.0,2.0,12.0,12.0,1.0,1.0,9.0,0.0,9.0,0.1,9.0,0.8,1.0,6.0
"glover, kyle",2021,,71,215,"eastman, ga.",rb,13,12,4,70,1,25,0.3,17.5,5.4,2.0,12.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0
"gonzalez, oscar",2018,,76,209,"dalton, ga.",wr,2,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,
"gonzalez, oscar",2019,,76,209,"dalton, ga.",wr,12,0,0,0,0,0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"gonzalez, oscar",2021,,76,235,"dalton, ga.",wr,9,1,0,0,0,0,0.0,0.0,0.0,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"gonzalez, oscar",2022,,76,230,"dalton, ga.",wr,9,0,3,48,0,37,0.3,16.0,5.3,,,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"grier, antavius",2018,,69,158,"jackson, ga.",rb,4,0,1,4,0,4,0.3,4.0,1.0,1.0,6.0,,,,,,,,,,,
"grier, antavius",2019,,69,158,"jackson, ga.",rb,10,0,1,6,0,6,0.1,6.0,0.6,2.0,12.0,4.0,0.0,1.0,4.0,0.0,4.0,0.3,4.0,1.0,1.0,6.0
"haigler, will",2019,,73,206,"tallahassee, fla.",wr,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"haigler, will",2021,,73,210,"tallahassee, fla.",wr,13,9,11,158,0,32,0.8,14.4,12.2,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hancock, kj",2018,,73,210,"suwanee, ga.",wr,12,3,1,40,0,40,0.1,40.0,3.3,0.0,0.0,,,,,,,,,,,
"hancock, kj",2019,,73,210,"suwanee, ga.",wr,14,3,3,85,1,40,0.2,28.3,6.1,1.0,6.0,12.0,3.0,1.0,40.0,0.0,40.0,0.1,40.0,3.3,0.0,0.0
"harper, xavier",2017,,72,190,"hoschton, ga.",wr,12,12,9,182,1,53,0.8,20.2,15.2,1.0,6.0,,,,,,,,,,,
"harper, xavier",2018,,72,194,"hoschton, ga.",wr,12,10,8,105,1,43,0.7,13.1,8.8,1.0,6.0,12.0,12.0,9.0,182.0,1.0,53.0,0.8,20.2,15.2,1.0,6.0
"hill, xavier",2021,,74,200,"pleasant grove, ala.",wr,9,2,9,152,4,56,1.0,16.9,16.9,4.0,24.0,,,,,,,,,,,
"holland, darnell",2017,,70,190,"bowdon, ga.",rb,14,13,7,114,0,22,0.5,16.3,8.1,8.0,48.0,,,,,,,,,,,
"holland, darnell",2018,,70,195,"bowdon, ga.",rb,13,13,9,182,2,65,0.7,20.2,14.0,12.0,72.0,14.0,13.0,7.0,114.0,0.0,22.0,0.5,16.3,8.1,8.0,48.0
"jackson, adrian",2018,,74,221,"hoschton, ga.",te,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"jackson, adrian",2019,,74,221,"hoschton, ga.",te,16,7,2,59,1,31,0.1,29.5,3.7,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jackson, jalen",2018,,74,197,"powder springs, ga.",wr,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"jackson, jalen",2019,,74,197,"powder springs, ga.",wr,14,0,2,59,1,31,0.1,29.5,4.2,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kent, carson",2022,,76,230,"milton, ga.",te,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
"kent, carson",2023,businesss management,76,240,"milton, ga.",te,8,5,14,165,0,35,1.8,11.8,20.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kent, carson",2024,management,76,240,"milton, ga.",te,3,2,4,45,1,25,1.3,11.3,15.0,1.0,6.0,8.0,5.0,14.0,165.0,0.0,35.0,1.8,11.8,20.6,0.0,0.0
"ledet, marquis",2021,,72,190,"marietta, ga.",rb,8,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,
"ledet, marquis",2022,,72,205,"marietta, ga.",rb,8,1,1,5,0,5,0.1,5.0,0.6,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"manning, jackson",2024,business administration,77,240,"acworth, ga.",te,4,1,1,6,0,6,0.3,6.0,1.5,,,,,,,,,,,,,
