name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"abisoye, adesola",2019,,70,186,"loganville, ga.",db,13,1,7,3,10,1.0,0.0,1,4,0,0,2,1.0,0.0,7.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"adeleke, adeolu",2019,,70,189,"conyers, ga.",rb,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"adeleke, adeolu",2021,,70,185,"conyers, ga.",rb,12,7,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"allen, carlos",2022,,72,290,"atlanta, ga.",dl,11,6,13,12,25,21.0,15.0,0,1,1,2,0,6.0,2.0,9.0,0.0,4.0,10.0,14.0,3.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
"allen, kelcy",2019,,73,267,"smith station, ala.",dl,10,0,7,4,11,3.0,1.0,0,0,0,0,0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"allen, kelcy",2021,,73,240,"smith station, ala.",dl,9,4,4,4,8,1.0,0.0,0,0,0,1,0,1.0,0.0,10.0,0.0,7.0,4.0,11.0,1.5,3.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
"armstrong, bryson",2019,,71,212,"marietta, ga.",lb,14,13,51,44,95,40.0,19.0,1,3,2,1,1,12.0,3.5,13.0,13.0,56.0,19.0,75.0,10.0,28.0,2.5,11.0,1.0,3.0,0.0,0.0,0.0
"arrasmith, kyle",2019,,77,273,"navarre, fla.",dl,11,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"barnes, demetric",2021,,76,295,"stone mountain, ga.",dl,11,0,7,4,11,2.0,2.0,0,0,0,0,0,1.0,1.0,5.0,0.0,2.0,1.0,3.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
"barnes, demetric",2022,,76,235,"stone mountain, ga.",dl,10,1,7,2,9,0.0,0.0,0,0,0,1,0,0.0,0.0,11.0,0.0,7.0,4.0,11.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
"barnum, jalen",2022,,73,195,"jesup, ga.",lb,11,9,23,25,48,2.0,0.0,0,1,0,0,0,1.5,0.0,7.0,0.0,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"barron, jayden",2019,,74,285,"thomaston, ga.",dl,7,0,4,2,6,1.0,0.0,0,0,0,0,0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bates, chance",2019,,72,248,"muscle shoals, ala.",lb,14,7,29,16,45,9.0,0.0,0,0,0,0,0,4.0,0.0,12.0,4.0,15.0,7.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bates, chance",2021,,72,240,"muscle shoals, ala.",lb,13,11,28,20,48,1.0,0.0,1,2,0,0,0,0.5,0.0,14.0,7.0,29.0,16.0,45.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
