prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss_yards,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks,total_tackles,season
4.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2021
4.0,10.0,14.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,25,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2019
7.0,4.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8,2021
56.0,19.0,75.0,28.0,11.0,1.0,3.0,0.0,0.0,0.0,95,2019
5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2019
2.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,11,2021
7.0,4.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2021
8.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48,2022
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
15.0,7.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2019
29.0,16.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,48,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2019
17.0,7.0,24.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,30,2019
13.0,17.0,30.0,27.0,16.0,0.0,2.0,0.0,1.0,0.0,25,2021
16.0,9.0,25.0,31.0,28.0,0.0,0.0,0.0,0.0,0.0,34,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2021
2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2021
