name,season,major,height,weight,hometown,position,games_played,games_started,receptions,receiving_yards,receiving_touchdowns,longest_reception,receptions_per_game,average_yards_per_reception,average_receiving_yards_per_game,total_touchdowns,total_points,prev_games_played,prev_games_started,prev_receptions,prev_receiving_yards,prev_receiving_touchdowns,prev_longest_reception,prev_receptions_per_game,prev_average_yards_per_reception,prev_average_receiving_yards_per_game,prev_total_touchdowns,prev_total_points
"adeleke, adeolu",2019,,70,189,"conyers, ga.",rb,11,0,1,13,0,13,0.1,13.0,1.2,0.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,0.1,1.0,6.0
"adeleke, adeolu",2021,,70,185,"conyers, ga.",rb,12,7,14,223,2,42,1.2,15.9,18.6,4.0,24.0,11.0,0.0,1.0,13.0,0.0,13.0,0.1,13.0,1.2,0.0,0.0
"benyard, gabriel",2022,,70,175,"ocilla, ga.",rb,9,2,13,234,2,37,1.4,18.0,26.0,2.0,12.0,13.0,2.0,5.0,73.0,2.0,30.0,0.4,14.6,5.6,3.0,18.0
"bohannon, blake",2022,,73,200,"woodstock, ga.",wr,11,10,12,213,1,61,1.1,17.8,19.4,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"clemons, yesiah",2022,,70,200,"griffin, ga.",rb,11,2,1,53,1,53,0.1,53.0,4.8,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cousin, iaan",2021,,72,165,"carrollton, ga.",rb,13,4,14,337,2,55,1.1,24.1,25.9,6.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cousin, iaan",2022,,72,160,"carrollton, ga.",rb,5,1,11,146,0,28,2.2,13.3,29.2,0.0,0.0,13.0,4.0,14.0,337.0,2.0,55.0,1.1,24.1,25.9,6.0,36.0
"daniels, preston",2021,,71,250,"sandersville, ga.",rb,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"daniels, preston",2022,,71,255,"sandersville, ga.",rb,9,8,1,19,1,19,0.1,19.0,2.1,5.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"farrow, nykeem",2021,,69,170,"cochran, ga.",rb,13,5,6,100,1,52,0.5,16.7,7.7,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"farrow, nykeem",2022,,69,170,"cochran, ga.",rb,5,0,2,72,0,72,0.4,36.0,14.4,0.0,0.0,13.0,5.0,6.0,100.0,1.0,52.0,0.5,16.7,7.7,2.0,12.0
"ficklin, kevin",2019,,66,187,"dacula, ga.",rb,14,5,0,0,0,0,0.0,0.0,0.0,4.0,24.0,13.0,0.0,1.0,55.0,1.0,55.0,0.1,55.0,4.2,1.0,6.0
"foster, isaac",2019,,70,165,"summerville, ga.",rb,8,7,6,111,1,32,0.8,18.5,13.9,5.0,30.0,13.0,0.0,3.0,56.0,0.0,38.0,0.2,18.7,4.3,3.0,18.0
"foster, isaac",2021,,70,170,"summerville, ga.",rb,3,3,1,12,0,12,0.3,12.0,4.0,0.0,0.0,8.0,7.0,6.0,111.0,1.0,32.0,0.8,18.5,13.9,5.0,30.0
