season,name,major,height,weight,hometown,position,games_played,games_started,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game
2017,"burks, chandler",,70,187,"douglasville, ga.",qb,14,14,255,1103,18,28,4.3,78.8
2017,"mckenzie, jake",,72,205,"monroeville, ala.",rb,14,14,163,731,3,30,4.5,52.2
2017,"david, daniel",,73,214,"hoschton, ga.",qb,6,0,26,67,1,12,2.6,11.2
2017,"bryant, tommy",,73,190,"tuscaloosa, ala.",qb,6,0,13,84,1,51,6.5,14.0
2017,"reed, tj",,69,173,"daphne, ala.",rb,14,2,40,371,2,79,9.3,26.5
2017,"naylor, ezra",,76,200,"atlanta, ga.",wr,14,1,1,-4,0,0,-4.0,-0.3
2017,"harper, xavier",,72,190,"hoschton, ga.",wr,12,12,0,0,0,0,0.0,0.0
2017,"chivers, trey",,71,210,"carrollton, ga.",rb,14,0,22,143,3,29,6.5,10.2
2017,"outlaw, sam",,73,213,"cumming, ga.",rb,7,0,37,155,0,21,4.2,22.1
2017,"simmons, brandon",,72,229,"pleasant grove, ala.",rb,1,0,3,10,0,5,3.3,10.0
2017,"holland, darnell",,70,190,"bowdon, ga.",rb,14,13,80,727,8,84,9.1,51.9
2017,"rechsteiner, bronson",,72,223,"acworth, ga.",rb,14,0,99,445,2,35,4.5,31.8
2017,"white, myles",,72,182,"warner robins, ga.",rb,14,0,0,0,0,0,0.0,0.0
2017,"terry, shaquil",,69,179,"bessemer, ala.",rb,14,13,63,806,3,84,12.8,57.6
2017,"ficklin, kevin",,66,183,"dacula, ga.",rb,11,0,0,0,0,0,0.0,0.0
2017,"glover, kyle",,71,209,"eastman, ga.",lb,10,0,0,0,0,0,0.0,0.0
