name,upcoming_days_until_game,upcoming_forecast_is_dome,upcoming_forecast_precipitation_chance,upcoming_forecast_temperature,upcoming_forecast_wind_speed,upcoming_is_home_game,upcoming_kickoff_time,upcoming_opponent,prev_attendance,prev_average_points_scored,prev_duration,prev_first_downs,prev_game,prev_game_date,prev_kickoff_time,prev_longest_reception,prev_receiving_yards,prev_receptions,prev_temperature,prev_total_points_scored,prev_touchdowns,prev_weather,prev_wind
"Chivers,  Trey",7.0,,,,,False,7:54 pm,Alabama State,4908,23,3:29,0.0,9-9-2017_vs Tennessee Tech,2017-09-09,6:05 pm,0.0,0.0,0.0,78,92,0.0,Overcast and windy,S-18 mph
"Chivers,  Trey",14.0,,,,,True,3:37 pm,North Greenville,8418,29,2:57,0.0,9-16-2017_at Alabama State,2017-09-16,7:07 pm,0.0,0.0,0.0,74,116,0.0,Sunny and clear,"ENE, 8"
"Chivers,  Trey",7.0,,,,,True,7:07 pm,Texas Southern,11000,41.33,2:54,0.0,9-30-2017_vs North Greenville,2017-09-30,7:54 pm,0.0,0.0,0.0,78,124,0.0,Partly Cloudy,E4
"Chivers,  Trey",7.0,,,,,False,6:05 PM,Liberty,6161,38,3:19,0.0,10-7-2017_vs Texas Southern,2017-10-07,3:37 pm,0.0,0.0,0.0,78,38,0.0,Sunny,WNW 5
"Chivers,  Trey",7.0,,,,,True,7:05 pm,Gardner-Webb,6743,48,2:39,0.0,10-14-2017_at Liberty,2017-10-14,7:07 pm,0.0,0.0,0.0,78,48,0.0,Overcast,SE 8
"Chivers,  Trey",7.0,,,,,False,12:07 pm,Montana State,6954,34.67,2:52,0.0,10-28-2017_at Presbyterian,2017-10-28,7:05 pm,0.0,0.0,0.0,71,208,0.0,Clear,ESE 5
"Chivers,  Trey",7.0,,,,,True,3:35 pm,Charleston Southern,2804,38,2:41,0.0,11-4-2017_at Montana State,2017-11-04,2:36 PM,0.0,0.0,0.0,68,190,0.0,partly cloudy,sse 9
"Chivers,  Trey",7.0,,,,,True,2:04 pm,Samford,6224,25.75,2:49,0.0,11-18-2017_vs Monmouth,2017-11-18,3:35 pm,0.0,0.0,0.0,55,206,0.0,Sunny,
"Chivers,  Trey",7.0,,,,,False,1:04 pm,Jacksonville State,6808,37.43,2:50,0.0,11-25-2017_vs Samford,2017-11-25,2:06 pm,0.0,0.0,0.0,65,262,0.0,Partly Cloudy,
"Chivers,  Trey",7.0,,,,,False,7:34 pm,Sam Houston State,5566,23,3:13,0.0,12-2-2017_at Jacksonville State,2017-12-02,2:04 pm,0.0,0.0,0.0,62,92,0.0,Partly Cloudy,
"Chivers,  Trey",,,,,,False,,Sam Houston State,17412,32,2:44,0.0,12-9-2017_at Sam Houston State,2017-12-09,1:04 pm,0.0,0.0,0.0,65,160,0.0,Partly Cloudy,NW 2 mph
"Ficklin,  Kevin",7.0,,,,,False,1:04 pm,Jacksonville State,6808,37.43,2:50,0.0,11-25-2017_vs Samford,2017-11-25,2:06 pm,0.0,0.0,0.0,65,262,0.0,Partly Cloudy,
"Glover,  Kyle",7.0,,,,,False,6:05 PM,Liberty,6161,38,3:19,0.0,10-7-2017_vs Texas Southern,2017-10-07,3:37 pm,0.0,0.0,0.0,78,38,0.0,Sunny,WNW 5
"Glover,  Kyle",7.0,,,,,True,2:06 pm,Monmouth,16337,16,2:50 hrs,0.0,11-11-2017_vs Charleston Southern,2017-11-11,12:07 pm,0.0,0.0,0.0,20 F,16,0.0,"mild, 14"" snow",0-8 NNW
