name,season,is_home_game,date,opponent,weather,temperature,wind,duration,kickoff_time,attendance,total_points_scored,average_points_scored,total_first_downs,passing_first_downs,team_qb_passing_completions,team_qb_passing_attempts,team_qb_passing_interceptions,team_qb_passing_avg_per_attempt,team_qb_passing_avg_per_completion,team_qb_passing_touchdowns,team_total_offense_yards,team_total_offense_plays,receiving_offensive_rec.,receiving_offensive_yds.,receiving_offensive_td,receiving_offensive_long
"Ashley, Qua",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16,17,10,28,38,0,8.9,12.1,3,416,72,1,51,0,51
"Ashley, Qua",2024,True,07/09/2024,Louisiana,Sunny,78,SE 11mph,03:02,07:04 PM,11040,10,10,12,5,7,13,0,7.2,13.3,0,204,50,2,17,0,13
"Ashley, Qua",2024,True,28/09/2024,UT Martin,Cloudy,72,S 8mph,03:09,06:02 PM,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,3,12,0,9
"Ashley, Qua",2024,False,14/09/2024,San Jose St,Sunny,79,,03:16,04:05 PM,11090,10,10,18,13,26,39,0,9.1,13.7,4,417,64,4,51,0,34
"Benefield, Michael",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16,17,10,28,38,0,8.9,12.1,3,416,72,,,,
"Benefield, Michael",2024,True,07/09/2024,Louisiana,Sunny,78,SE 11mph,03:02,07:04 PM,11040,10,10,12,5,7,13,0,7.2,13.3,0,204,50,,,,
"Benefield, Michael",2024,True,28/09/2024,UT Martin,Cloudy,72,S 8mph,03:09,06:02 PM,10847,57,28.5,13,6,17,35,2,4.3,8.8,0,215,65,0,0,0,0
"Benefield, Michael",2024,False,14/09/2024,San Jose St,Sunny,79,,03:16,04:05 PM,11090,10,10,18,13,26,39,0,9.1,13.7,4,417,64,2,6,0,9
"Benyard, Gabriel",2024,False,31/08/2024,UTSA,Sunny,,,03:44,02:32 PM,25911,16,16,17,10,28,38,0,8.9,12.1,3,416,72,4,39,0,22
"Benyard, Gabriel",2024,True,07/09/2024,Louisiana,Sunny,78,SE 11mph,03:02,07:04 PM,11040,10,10,12,5,7,13,0,7.2,13.3,0,204,50,0,0,0,0
