name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"abisoye, adesola",2017,,70,186,"loganville, ga.",db,4,0,0,0,0,0.0,0.0,0,0,0,0,1,0.0,0.0,,,,,,,,,,,,,,
"abisoye, adesola",2018,,70,186,"loganville, ga.",db,7,1,4,0,4,1.0,0.0,1,1,0,0,0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"abisoye, adesola",2019,,70,186,"loganville, ga.",db,13,1,7,3,10,1.0,0.0,1,4,0,0,2,1.0,0.0,7.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"adeleke, adeolu",2018,,70,189,"conyers, ga.",rb,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"adeleke, adeolu",2019,,70,189,"conyers, ga.",rb,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"adeleke, adeolu",2021,,70,185,"conyers, ga.",rb,12,7,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"agbenou, joshua",2023,interdisciplinary studies,74,245,"bethlehem, ga.",dl,8,3,9,13,22,8.0,5.0,0,1,0,1,0,2.5,1.0,,,,,,,,,,,,,,
"allen, carlos",2021,,72,285,"atlanta, ga.",dl,9,0,4,10,14,12.0,7.0,0,0,0,0,0,3.0,1.0,,,,,,,,,,,,,,
"allen, carlos",2022,,72,290,"atlanta, ga.",dl,11,6,13,12,25,21.0,15.0,0,1,1,2,0,6.0,2.0,9.0,0.0,4.0,10.0,14.0,3.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
"allen, kelcy",2018,,73,267,"smith station, ala.",,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
