season,name,major,height,weight,hometown,position,games_played,games_started,receptions,receiving_yards,receiving_touchdowns,longest_reception,receptions_per_game,average_yards_per_reception,average_receiving_yards_per_game,total_touchdowns,total_points
2021,"adeleke, adeolu",,70,185,"conyers, ga.",rb,12,7,14,223,2,42,1.2,15.9,18.6,4,24
2021,"glover, kyle",,71,215,"eastman, ga.",rb,13,12,4,70,1,25,0.3,17.5,5.4,2,12
2021,"haigler, will",,73,210,"tallahassee, fla.",wr,13,9,11,158,0,32,0.8,14.4,12.2,0,0
2021,"foster, isaac",,70,170,"summerville, ga.",rb,3,3,1,12,0,12,0.3,12.0,4.0,0,0
2021,"hill, xavier",,74,200,"pleasant grove, ala.",wr,9,2,9,152,4,56,1.0,16.9,16.9,4,24
2021,"farrow, nykeem",,69,170,"cochran, ga.",rb,13,5,6,100,1,52,0.5,16.7,7.7,2,12
2021,"marshall, chavis",,75,190,"sylvester, ga.",wr,12,0,1,22,0,22,0.1,22.0,1.8,,
2021,"gonzalez, oscar",,76,235,"dalton, ga.",wr,9,1,0,0,0,0,0.0,0.0,0.0,,
2021,"benyard, gabriel",,70,180,"ocilla, ga.",rb,13,2,5,73,2,30,0.4,14.6,5.6,3,18
2021,"daniels, preston",,71,250,"sandersville, ga.",rb,12,0,0,0,0,0,0.0,0.0,0.0,0,0
2021,"ledet, marquis",,72,190,"marietta, ga.",rb,8,0,0,0,0,0,0.0,0.0,0.0,,
2021,"smith, irving",,68,200,"dallas, ga.",rb,9,4,4,88,0,34,0.4,22.0,9.8,,
2021,"clemons, yesiah",,70,200,"griffin, ga.",rb,11,0,0,0,0,0,0.0,0.0,0.0,0,0
2021,"cousin, iaan",,72,165,"carrollton, ga.",rb,13,4,14,337,2,55,1.1,24.1,25.9,6,36
2021,"bohannon, blake",,73,165,"woodstock, ga.",wr,4,0,0,0,0,0,0.0,0.0,0.0,0,0
2021,"o'neal, caleb",,74,200,"chickamauga, ga.",wr,13,12,19,323,5,51,1.5,17.0,24.8,5,30
2021,"finer, connor",,74,220,"new port richey, fla.",te,1,0,0,0,0,0,0.0,0.0,0.0,,
2021,"pinholster, carter",,73,190,"fort payne, ala.",wr,10,0,1,48,1,48,0.1,48.0,4.8,1,6
